,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-LA-644,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-647,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IL-648,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KY-649,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OK-650,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-651,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NE-652,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-656,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-657,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-658,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TN-659,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-661,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-662,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-669,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OK-670,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OK-671,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-673,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IL-675,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-676,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KS-678,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IA-679,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IA-682,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-686,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ND-687,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AL-691,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-692,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AR-693,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AL-698,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-702,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-705,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-709,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-710,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-711,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-716,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-717,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-718,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NE-722,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-ND-724,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-SD-725,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AR-734,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KY-736,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MN-737,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NE-740,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AK-743,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-HI-744,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AK-745,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MS-746,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AK-747,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-749,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-751,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-CO-752,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AZ-753,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT-754,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MT-755,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-756,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OR-757,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WY-758,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
