,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-SC-517,89.82326376289573,29.0870133010551,0.6825770861063893,29.213408915704743,3113.0291958710204,1110.7974092466602,34.40577250287492,25.30329176720264,39.932319207865376,44.9417832705934,68.52994690765047,211.07031520446768,60.23911679902816,0.4312826305974473,560.4694205600592,404.22497887921696,1376.046757381204
US-NC-518,101.69586775642395,33.388743463294205,0.37069771682149016,25.120322258699293,3285.89682107479,1199.9912725476781,39.09765572192855,26.34921968471656,40.673042571898904,44.942407830382884,70.2549412857881,241.46009402961678,67.68420445955104,0.1360145356525996,581.9450637095788,428.2635741751769,1529.75149293658
US-SC-519,82.23005851353491,34.2817211886626,0.10819277896619259,27.62226628780397,3139.6009326393273,1050.6764898615265,38.78499847551013,24.070294896793804,33.42086049590261,45.256551790680966,70.04467679180188,214.62518020685218,68.19530594386379,0.9235326368366287,575.4932043286788,393.3928715369455,1460.5247499015472
US-SC-520,89.04759727253446,26.662715263307426,0.2621668609125436,21.341702742954844,3026.9892252017294,1223.947404575419,38.08314028376605,24.598127944541737,31.32651293890208,44.12829263651295,65.73231385208464,199.9409629968691,63.64171730768113,0.8368757265369011,603.1530760144984,397.1694940408812,1648.3573625041795
US-MA-521,99.63451494972603,39.44241032996034,0.617080397711097,32.09228084247828,3395.2704841092277,527.4816120136052,56.662925634294446,30.045784766365003,49.16889892129337,31.861140159144508,65.47603465605546,243.1080429516941,93.40966578613242,0.32632102884141856,642.495357970348,370.0615788299953,873.0457459920113
US-GA-522,90.17650537085566,23.036075404053502,1.0828539063523404,24.518467524565654,3209.111078722049,1198.7076178071375,33.192133697600326,22.64072223467747,29.73432544700756,41.77548939922268,65.9190674512638,223.40231807897365,53.77121185216566,0.2502366699295596,537.682349833762,344.7887287505935,1609.2527214123268
US-VT-523,99.31675337537666,45.64869573773837,0.7087521493704149,33.84171778369486,3429.1998719549047,724.1028755307595,54.98599221188655,29.682718708681026,55.066306553751964,43.64217314673281,72.57959180022544,333.29277994760673,94.58332805752416,0.3381245649357899,722.5167768779964,449.5518571961358,1293.3324569328327
US-GA-524,88.05684293476112,28.249782393006424,1.0606424939365011,27.289683647312856,3063.5227032977277,1033.0605237669074,33.025894453674105,29.78728264362196,39.639183695400725,43.70569467300252,70.9361390172442,256.8684715725118,53.93982327891474,0.8665406243570543,546.2191005881007,364.1675669125486,1217.8955409632722
US-GA-525,118.1722434875239,20.301479209612626,0.04847253032972135,22.9193857252217,2983.3554477791317,1217.2932227327647,24.849115005740206,15.01297675422541,18.9208599231934,31.612046652253504,58.254123165020104,197.5839591255943,47.70365910157574,2.5904357435873506,527.8568701726906,463.20306573747257,1915.5811952007477
US-NY-526,114.22416698571956,38.789653330722295,5.396525047722982,30.9621966137888,3445.4071898627217,467.3006577027893,36.604430171924456,12.471556126381692,35.71014479088512,26.706676839343313,51.06152356148933,196.85723650571865,91.19630343700646,0.43584249544952686,624.5854626154583,428.20815588300513,1253.5535643068902
